time,open,high,low,close,volume,volume_ma
2021-07-13T07:00:00+07:00,2031.75,2043.71,2013.78,2031.61,3242.728117,2490.1233644500403
2021-07-13T08:00:00+07:00,2031.62,2033.94,2016.59,2029.67,1595.639009,2516.23626305004
2021-07-13T09:00:00+07:00,2029.58,2034.97,2023.61,2028.25,930.326775,2506.1900816500406
2021-07-13T10:00:00+07:00,2028.52,2038.61,2027.05,2029.25,904.629308,2489.750722850041
2021-07-13T11:00:00+07:00,2029.42,2033.87,2021.85,2023.15,1250.682244,2492.651669450041
2021-07-13T12:00:00+07:00,2023.17,2025.0,1976.57,1981.16,9858.769841,2854.728257900041
2021-07-13T13:00:00+07:00,1981.12,2013.21,1981.12,2002.53,3336.527073,2845.3118035500406
2021-07-13T14:00:00+07:00,2002.54,2034.33,2002.54,2027.63,5552.056228,3053.7862648500404
2021-07-13T15:00:00+07:00,2027.63,2034.24,2018.34,2028.56,1940.068753,3034.3025537500407
2021-07-13T16:00:00+07:00,2028.2,2029.11,2012.16,2029.1,1748.173209,3021.5533903000405
2021-07-13T17:00:00+07:00,2029.11,2046.4,2016.33,2020.32,2708.841747,3076.5225579500407
2021-07-13T18:00:00+07:00,2020.85,2025.86,1991.07,1996.97,4070.376315,3172.6400624000407
2021-07-13T19:00:00+07:00,1997.13,2001.03,1962.0,1969.36,6455.601567,3037.73966000004
2021-07-13T20:00:00+07:00,1969.41,1987.66,1961.07,1978.47,3527.365932,3080.474842000041
2021-07-13T21:00:00+07:00,1978.47,1983.0,1970.17,1975.53,2407.433648,3001.5164758500405
2021-07-13T22:00:00+07:00,1975.72,2008.0,1972.48,1998.41,3102.953952,2961.42353300004
2021-07-13T23:00:00+07:00,1998.72,2008.16,1983.97,1991.28,2273.37671,2979.8310929500403
2021-07-14T00:00:00+07:00,1991.26,2000.71,1986.01,1988.07,967.784003,2984.1440219500405
2021-07-14T01:00:00+07:00,1988.39,1988.39,1961.21,1961.82,1717.26928,2954.4568232000406
2021-07-14T02:00:00+07:00,1961.69,1968.47,1917.12,1923.52,6914.393054,3225.2498382500407
2021-07-14T03:00:00+07:00,1924.36,1950.91,1919.05,1947.68,3349.315499,3230.5792073500406
2021-07-14T04:00:00+07:00,1947.53,1956.84,1934.82,1946.5,1825.222938,3242.0584038000407
2021-07-14T05:00:00+07:00,1946.38,1950.0,1925.01,1936.5,2063.47364,3298.71574705004
2021-07-14T06:00:00+07:00,1936.5,1949.69,1928.11,1940.38,1468.157339,3326.89214860004
2021-07-14T07:00:00+07:00,1940.87,1945.57,1893.33,1903.69,5700.778248,3549.39694880004
2021-07-14T08:00:00+07:00,1903.69,1917.53,1884.22,1908.7,4624.27347,3287.67213025004
2021-07-14T09:00:00+07:00,1908.38,1920.37,1905.76,1914.63,1927.336983,3217.2126257500395
2021-07-14T10:00:00+07:00,1914.48,1917.0,1862.7,1883.87,8231.566989,3351.18816380004
2021-07-14T11:00:00+07:00,1883.82,1897.9,1878.29,1890.67,3112.182606,3409.79385645004
2021-07-14T12:00:00+07:00,1890.67,1894.99,1868.11,1873.64,2225.606666,3433.6655293000404
2021-07-14T13:00:00+07:00,1873.64,1889.71,1865.11,1876.84,2822.293969,3439.3381404000406
2021-07-14T14:00:00+07:00,1877.04,1906.71,1875.85,1899.24,2308.155469,3351.227098100041
2021-07-14T15:00:00+07:00,1899.24,1903.84,1875.9,1877.99,2410.749829,3148.984511200041
2021-07-14T16:00:00+07:00,1878.0,1957.81,1870.57,1936.41,8944.136072,3419.8230182000407
2021-07-14T17:00:00+07:00,1937.0,1957.57,1927.46,1943.11,3282.012839,3463.5519777500404
2021-07-14T18:00:00+07:00,1942.67,1953.05,1938.0,1948.97,1436.66901,3380.2377306500407
2021-07-14T19:00:00+07:00,1948.98,1957.83,1938.64,1941.67,1676.264944,3350.3821423500403
2021-07-14T20:00:00+07:00,1941.31,2009.99,1941.31,2004.12,6196.306969,3611.808290650041
2021-07-14T21:00:00+07:00,2004.12,2019.11,1994.97,2012.28,3361.483414,3694.018997350041
2021-07-14T22:00:00+07:00,2012.29,2015.12,1982.89,1995.65,2395.753369,3468.087013100041
2021-07-14T23:00:00+07:00,1995.65,2006.67,1982.73,2000.35,2370.178419,3419.130159100041
2021-07-15T00:00:00+07:00,2000.36,2007.53,1996.04,2001.59,1312.43309,3393.490666700041
2021-07-15T01:00:00+07:00,2001.6,2014.05,1980.84,1986.19,2894.140842,3435.0240268000407
2021-07-15T02:00:00+07:00,1986.87,1990.88,1971.67,1980.34,2192.474457,3471.239882700041
2021-07-15T03:00:00+07:00,1979.8,1994.68,1979.8,1988.45,862.125065,3229.3072235500413
2021-07-15T04:00:00+07:00,1988.39,2000.98,1988.32,1994.71,640.118087,3030.0994544000414
2021-07-15T05:00:00+07:00,1994.71,2010.0,1988.4,2004.01,1285.580168,2998.011613650041
2021-07-15T06:00:00+07:00,2004.32,2005.06,1986.39,1994.89,1164.604347,2644.663481550041
2021-07-15T07:00:00+07:00,1993.94,2007.27,1973.0,2003.55,2208.580375,2599.483370000041
2021-07-15T08:00:00+07:00,2003.55,2041.37,1998.56,2000.62,5818.321171,2779.119095250041
2021-07-15T09:00:00+07:00,2001.0,2013.12,1986.01,1991.18,1997.660926,2737.887443100041
2021-07-15T10:00:00+07:00,1990.25,1991.37,1978.62,1978.94,1555.3024,2700.2447896500407
2021-07-15T11:00:00+07:00,1978.93,1984.96,1956.0,1972.59,3734.774306,2766.446013500041
2021-07-15T12:00:00+07:00,1972.74,1972.74,1956.22,1963.72,1668.344568,2402.656438300041
2021-07-15T13:00:00+07:00,1963.5,1971.41,1946.31,1955.21,1872.94734,2332.2031633500405
2021-07-15T14:00:00+07:00,1955.21,1960.17,1942.92,1953.64,2074.289358,2364.084180750041
2021-07-15T15:00:00+07:00,1954.23,1968.87,1946.76,1957.35,2564.977008,2408.5197839500406
2021-07-15T16:00:00+07:00,1957.33,1978.5,1952.23,1966.91,2360.725654,2216.740718200041
2021-07-15T17:00:00+07:00,1966.91,1976.71,1908.95,1915.01,7432.687771,2420.300936050041
2021-07-15T18:00:00+07:00,1915.45,1923.21,1905.13,1912.8,3810.023947,2491.0144649500407
2021-07-15T19:00:00+07:00,1912.77,1940.0,1886.97,1898.76,8264.985413,2785.754814650041
2021-07-15T20:00:00+07:00,1898.66,1925.0,1883.96,1919.72,3914.611794,2915.863749850041
2021-07-15T21:00:00+07:00,1919.59,1934.02,1906.96,1918.9,2495.11392,2895.912403750041
